group,common,scientific,warrumbungle,pilliga,habitat,threatened
Owls & night birds,Australian Owlet-nightjar,Aegotheles cristatus,uncommon,uncommon,Hollows in woodland,
Owls & night birds,Spotted Nightjar,Eurostopodus argus,rare,uncommon,"Sandy woodland, tracks",
Owls & night birds,Southern Boobook,Ninox boobook,uncommon,uncommon,"Woodland, camps",
Owls & night birds,Barking Owl,Ninox connivens,rare,uncommon,"Timbered creeks, large hollows",yes
Owls & night birds,Powerful Owl,Ninox strenua,rare,,Tall forest gullies,yes
Owls & night birds,Eastern Barn Owl,Tyto javanica,rare,rare,"Open country, sheds",
Raptors,Wedge-tailed Eagle,Aquila audax,common,common,"Ridges, thermals, roadsides",
Raptors,Little Eagle,Hieraaetus morphnoides,uncommon,uncommon,"Woodland, hills",
Raptors,Whistling Kite,Haliastur sphenurus,uncommon,uncommon,"Dams, roads, open country",
Raptors,Black Kite,Milvus migrans,uncommon,uncommon,"Roads, fires, open country",
Raptors,Black-shouldered Kite,Elanus axillaris,uncommon,uncommon,"Grassland, paddocks",
Raptors,Square-tailed Kite,Lophoictinia isura,rare,rare,Canopy of woodland,yes
Raptors,Spotted Harrier,Circus assimilis,rare,uncommon,Open grassland,
Raptors,Brown Goshawk,Accipiter fasciatus,uncommon,uncommon,Woodland,
Raptors,Collared Sparrowhawk,Accipiter cirrocephalus,uncommon,uncommon,"Woodland, gardens",
Raptors,Nankeen Kestrel,Falco cenchroides,common,common,"Open country, cliffs, roads",
Raptors,Brown Falcon,Falco berigora,common,common,"Open woodland, posts",
Raptors,Australian Hobby,Falco longipennis,uncommon,uncommon,"Woodland, dusk airspace",
Raptors,Peregrine Falcon,Falco peregrinus,uncommon,uncommon,"Cliffs, High Tops",
Raptors,Black Falcon,Falco subniger,rare,rare,Open plains,
Parrots & cockatoos,Galah,Eolophus roseicapilla,common,common,Everywhere open,
Parrots & cockatoos,Little Corella,Cacatua sanguinea,common,common,"River red gums, crops",
Parrots & cockatoos,Sulphur-crested Cockatoo,Cacatua galerita,common,common,"Tall trees, camps",
Parrots & cockatoos,Glossy Black-Cockatoo,Calyptorhynchus lathami,uncommon,uncommon,She-oak stands,yes
Parrots & cockatoos,Yellow-tailed Black-Cockatoo,Zanda funerea,rare,rare,Tall forest,
Parrots & cockatoos,Pink Cockatoo,Lophochroa leadbeateri,rare,rare,"Open woodland, western slopes",yes
Parrots & cockatoos,Cockatiel,Nymphicus hollandicus,uncommon,common,"Open woodland, after rain",
Parrots & cockatoos,Australian Ringneck,Barnardius zonarius,common,common,"Woodland, camps",
Parrots & cockatoos,Eastern Rosella,Platycercus eximius,common,common,"Woodland, camps, roadsides",
Parrots & cockatoos,Crimson Rosella,Platycercus elegans,uncommon,rare,Higher Warrumbungle forest,
Parrots & cockatoos,Red-rumped Parrot,Psephotellus haematonotus,common,common,Grassy woodland,
Parrots & cockatoos,Bluebonnet,Northiella haematogaster,uncommon,uncommon,Open dry woodland,
Parrots & cockatoos,Turquoise Parrot,Neophema pulchella,uncommon,uncommon,Grassy woodland edges,yes
Parrots & cockatoos,Superb Parrot,Polytelis swainsonii,rare,rare,River red gum woodland,yes
Parrots & cockatoos,Budgerigar,Melopsittacus undulatus,uncommon,uncommon,Open country after rain,
Parrots & cockatoos,Little Lorikeet,Parvipsitta pusilla,uncommon,uncommon,Flowering eucalypts,yes
Parrots & cockatoos,Musk Lorikeet,Glossopsitta concinna,uncommon,uncommon,Flowering eucalypts,
Kingfishers & bee-eaters,Laughing Kookaburra,Dacelo novaeguineae,common,common,"Woodland, camps",
Kingfishers & bee-eaters,Sacred Kingfisher,Todiramphus sanctus,uncommon,uncommon,"Woodland, creeks (spring-autumn)",
Kingfishers & bee-eaters,Red-backed Kingfisher,Todiramphus pyrrhopygius,rare,uncommon,Dry inland woodland,
Kingfishers & bee-eaters,Rainbow Bee-eater,Merops ornatus,uncommon,uncommon,"Open country, sandy banks (summer)",
Kingfishers & bee-eaters,Dollarbird,Eurystomus orientalis,uncommon,uncommon,"Dead trees, summer",
Treecreepers,Brown Treecreeper,Climacteris picumnus,common,common,"Open woodland, fallen timber",yes
Treecreepers,White-throated Treecreeper,Cormobates leucophaea,uncommon,rare,"Wetter forest, Warrumbungles",
Treecreepers,White-browed Treecreeper,Climacteris affinis,,uncommon,Cypress and casuarina,
Fairy-wrens,Superb Fairy-wren,Malurus cyaneus,common,common,"Shrubby woodland, camps",
Fairy-wrens,Variegated Fairy-wren,Malurus lamberti,common,common,Shrubby understorey,
Fairy-wrens,Splendid Fairy-wren,Malurus splendens,,rare,Western shrubland,
Fairy-wrens,White-winged Fairy-wren,Malurus leucopterus,,rare,Saltbush and low shrub,
Pardalotes,Spotted Pardalote,Pardalotus punctatus,common,common,Eucalypt canopy,
Pardalotes,Striated Pardalote,Pardalotus striatus,common,common,Eucalypt canopy,
"Thornbills, gerygones & scrubwrens",Weebill,Smicrornis brevirostris,common,common,Eucalypt canopy,
"Thornbills, gerygones & scrubwrens",Inland Thornbill,Acanthiza apicalis,common,common,Shrubby woodland,
"Thornbills, gerygones & scrubwrens",Yellow Thornbill,Acanthiza nana,common,common,Casuarina and cypress,
"Thornbills, gerygones & scrubwrens",Yellow-rumped Thornbill,Acanthiza chrysorrhoa,common,common,Open grassy woodland,
"Thornbills, gerygones & scrubwrens",Buff-rumped Thornbill,Acanthiza reguloides,uncommon,uncommon,Open forest,
"Thornbills, gerygones & scrubwrens",Chestnut-rumped Thornbill,Acanthiza uropygialis,uncommon,common,Dry woodland,
"Thornbills, gerygones & scrubwrens",Striated Thornbill,Acanthiza lineata,uncommon,rare,Wetter forest canopy,
"Thornbills, gerygones & scrubwrens",Brown Thornbill,Acanthiza pusilla,uncommon,rare,Shrubby gullies,
"Thornbills, gerygones & scrubwrens",Southern Whiteface,Aphelocephala leucopsis,uncommon,uncommon,"Open woodland, saltbush",
"Thornbills, gerygones & scrubwrens",Western Gerygone,Gerygone fusca,uncommon,uncommon,Woodland canopy,
"Thornbills, gerygones & scrubwrens",White-throated Gerygone,Gerygone olivacea,uncommon,uncommon,Woodland (spring),
"Thornbills, gerygones & scrubwrens",White-browed Scrubwren,Sericornis frontalis,common,uncommon,"Gully scrub, blackberry",
"Thornbills, gerygones & scrubwrens",Speckled Warbler,Pyrrholaemus sagittatus,common,common,Grassy woodland with litter,yes
Honeyeaters,Noisy Miner,Manorina melanocephala,common,common,"Open woodland, camps",
Honeyeaters,Yellow-throated Miner,Manorina flavigula,uncommon,common,Dry inland woodland,
Honeyeaters,White-plumed Honeyeater,Ptilotula penicillata,common,common,"River red gums, woodland",
Honeyeaters,Yellow-faced Honeyeater,Caligavis chrysops,common,uncommon,Forest and woodland,
Honeyeaters,Fuscous Honeyeater,Ptilotula fusca,uncommon,uncommon,Dry forest,
Honeyeaters,White-eared Honeyeater,Nesoptilotis leucotis,uncommon,uncommon,Shrubby woodland,
Honeyeaters,Yellow-tufted Honeyeater,Lichenostomus melanops,uncommon,rare,Gully forest,
Honeyeaters,White-naped Honeyeater,Melithreptus lunatus,uncommon,rare,Canopy of wetter forest,
Honeyeaters,Brown-headed Honeyeater,Melithreptus brevirostris,uncommon,uncommon,Woodland canopy,
Honeyeaters,Black-chinned Honeyeater,Melithreptus gularis,rare,rare,Box woodland,yes
Honeyeaters,Blue-faced Honeyeater,Entomyzon cyanotis,uncommon,uncommon,"Open woodland, camps",
Honeyeaters,Noisy Friarbird,Philemon corniculatus,common,common,Flowering eucalypts,
Honeyeaters,Little Friarbird,Philemon citreogularis,uncommon,uncommon,River woodland,
Honeyeaters,Red Wattlebird,Anthochaera carunculata,uncommon,rare,"Taller forest, blossom",
Honeyeaters,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,uncommon,common,"Dry woodland, mistletoe",
Honeyeaters,Striped Honeyeater,Plectorhyncha lanceolata,uncommon,common,Cypress and mistletoe,
Honeyeaters,Painted Honeyeater,Grantiella picta,rare,rare,Mistletoe in woodland,yes
Honeyeaters,Regent Honeyeater,Anthochaera phrygia,rare,rare,Flowering ironbark,yes
Honeyeaters,Eastern Spinebill,Acanthorhynchus tenuirostris,uncommon,,"Gully heath, wet forest",
Honeyeaters,Brown Honeyeater,Lichmera indistincta,uncommon,uncommon,"Shrubs, blossom",
Honeyeaters,Singing Honeyeater,Gavicalis virescens,uncommon,uncommon,Open dry country,
Robins & fantails,Eastern Yellow Robin,Eopsaltria australis,common,uncommon,"Gully forest, camps",
Robins & fantails,Hooded Robin,Melanodryas cucullata,uncommon,uncommon,Open woodland with dead timber,yes
Robins & fantails,Red-capped Robin,Petroica goodenovii,uncommon,common,Dry woodland,
Robins & fantails,Scarlet Robin,Petroica boodang,rare,rare,Open forest in winter,
Robins & fantails,Jacky Winter,Microeca fascinans,common,common,Open woodland,
Robins & fantails,Willie Wagtail,Rhipidura leucophrys,common,common,Everywhere open,
Robins & fantails,Grey Fantail,Rhipidura albiscapa,common,common,Forest and woodland,
Robins & fantails,Rufous Fantail,Rhipidura rufifrons,rare,,Wet gullies (summer),
Robins & fantails,Restless Flycatcher,Myiagra inquieta,uncommon,uncommon,Open woodland,
Robins & fantails,Magpie-lark,Grallina cyanoleuca,common,common,"Open ground, mud nests",
Whistlers & shrikethrushes,Rufous Whistler,Pachycephala rufiventris,common,common,Woodland,
Whistlers & shrikethrushes,Golden Whistler,Pachycephala pectoralis,uncommon,rare,Wetter forest,
Whistlers & shrikethrushes,Grey Shrikethrush,Colluricincla harmonica,common,common,"Woodland, camps",
Whistlers & shrikethrushes,Crested Shriketit,Falcunculus frontatus,uncommon,uncommon,Eucalypt trunks,
"Woodswallows, trillers & sittellas",Black-faced Cuckoo-shrike,Coracina novaehollandiae,common,common,"Woodland, roads",
"Woodswallows, trillers & sittellas",White-bellied Cuckoo-shrike,Coracina papuensis,uncommon,uncommon,Woodland,
"Woodswallows, trillers & sittellas",White-winged Triller,Lalage tricolor,uncommon,uncommon,Open woodland (spring),
"Woodswallows, trillers & sittellas",Varied Sittella,Daphoenositta chrysoptera,uncommon,uncommon,Woodland trunks,
"Woodswallows, trillers & sittellas",White-browed Woodswallow,Artamus superciliosus,common,common,"Open sky, woodland",
"Woodswallows, trillers & sittellas",Masked Woodswallow,Artamus personatus,uncommon,uncommon,Open sky with white-browed,
"Woodswallows, trillers & sittellas",Dusky Woodswallow,Artamus cyanopterus,uncommon,uncommon,Open forest,
"Woodswallows, trillers & sittellas",Black-faced Woodswallow,Artamus cinereus,rare,uncommon,Open plains,
"Magpies, butcherbirds & ravens",Grey Butcherbird,Cracticus torquatus,common,common,"Woodland, camps",
"Magpies, butcherbirds & ravens",Pied Butcherbird,Cracticus nigrogularis,common,common,Open woodland,
"Magpies, butcherbirds & ravens",Australian Magpie,Gymnorhina tibicen,common,common,Open ground everywhere,
"Magpies, butcherbirds & ravens",Pied Currawong,Strepera graculina,common,uncommon,"Forest, camps",
"Magpies, butcherbirds & ravens",Australian Raven,Corvus coronoides,common,common,Everywhere,
"Magpies, butcherbirds & ravens",Little Raven,Corvus mellori,uncommon,uncommon,Open country in flocks,
"Babblers, choughs & apostlebirds",Grey-crowned Babbler,Pomatostomus temporalis,common,common,Open woodland in family groups,yes
"Babblers, choughs & apostlebirds",White-browed Babbler,Pomatostomus superciliosus,uncommon,uncommon,Shrubby woodland,
"Babblers, choughs & apostlebirds",White-winged Chough,Corcorax melanorhamphos,common,common,"Woodland, camps",
"Babblers, choughs & apostlebirds",Apostlebird,Struthidea cinerea,common,common,"Open woodland, camps",
Other,Olive-backed Oriole,Oriolus sagittatus,uncommon,uncommon,Canopy,
Other,Satin Bowerbird,Ptilonorhynchus violaceus,rare,,Wet gullies,
Finches,Double-barred Finch,Stizoptera bichenovii,common,common,"Grassy woodland, water",
Finches,Zebra Finch,Taeniopygia castanotis,uncommon,common,"Open dry country, water",
Finches,Plum-headed Finch,Aidemosyne modesta,uncommon,uncommon,Grassy woodland near water,
Finches,Red-browed Finch,Neochmia temporalis,uncommon,rare,"Gully grass, wetter edges",
Finches,Diamond Firetail,Stagonopleura guttata,uncommon,uncommon,Grassy woodland,yes
Finches,Mistletoebird,Dicaeum hirundinaceum,common,common,Anywhere with mistletoe,
Swallows & martins,Welcome Swallow,Hirundo neoxena,common,common,"Open air, buildings",
Swallows & martins,Tree Martin,Petrochelidon nigricans,uncommon,uncommon,"Open air, hollows",
Swallows & martins,Fairy Martin,Petrochelidon ariel,uncommon,uncommon,"Open air, culverts",
Swallows & martins,White-backed Swallow,Cheramoeca leucosterna,uncommon,uncommon,"Sandy banks, inland air",
Other,Silvereye,Zosterops lateralis,uncommon,uncommon,"Shrubs, autumn flocks",
Other,Australasian Pipit,Anthus novaeseelandiae,uncommon,uncommon,Open grassland,
Other,Rufous Songlark,Cincloramphus mathewsi,uncommon,uncommon,Grassy woodland (spring),
Other,House Sparrow,Passer domesticus,uncommon,uncommon,"Towns, sheds",
